,Start,End,Dist
202,Shakurpur,Punjabi Bagh West,1.4000000000000004
203,Punjabi Bagh West,ESI BASAI DARAPUR,2.499999999999999
204,ESI BASAI DARAPUR,Rajouri Garden,1.1000000000000014
205,Rajouri Garden,Maya Puri,1.5
206,Maya Puri,Naraina Vihar,1.5
207,Naraina Vihar,Delhi Cantt,1.8000000000000007
208,Delhi Cantt,Durgabai Deshmukh South Campus,3.599999999999998
209,Durgabai Deshmukh South Campus,Sir Vishweshwaraiah Moti Bagh,1.3000000000000007
210,Sir Vishweshwaraiah Moti Bagh,Bhikaji Cama Place,1.6000000000000014
211,Bhikaji Cama Place,Sarojini Nagar,1.1999999999999993
212,Sarojini Nagar,Dilli Haat INA,1.0999999999999979
213,Dilli Haat INA,South Extension,1.2000000000000028
214,South Extension,Lajpat Nagar,1.5999999999999979
215,Lajpat Nagar,Vinobapuri,1.4000000000000021
216,Vinobapuri,Ashram,1.1999999999999993
217,Ashram,Sarai Kale Khan Hazrat Nizamuddin,1.9000000000000021
218,Sarai Kale Khan Hazrat Nizamuddin,Mayur Vihar Phase-1,3.5999999999999943
219,Mayur Vihar Phase-1,Mayur Vihar Pocket I,0.8000000000000043
220,Mayur Vihar Pocket I,Trilokpuri Sanjay Lake,1.2999999999999972
221,Trilokpuri Sanjay Lake,Vinod Nagar East,0.8000000000000043
222,Vinod Nagar East,Mandawali - West Vinod Nagar,0.5999999999999943
223,Mandawali - West Vinod Nagar,IP Extension,1.0
224,IP Extension,Anand Vihar,1.6000000000000014
225,Anand Vihar,Karkar Duma,1.0
226,Karkar Duma,Karkarduma Court,1.1000000000000014
227,Karkarduma Court,Krishna Nagar,0.7000000000000028
228,Krishna Nagar,East Azad Nagar,1.0
229,East Azad Nagar,Welcome,1.0999999999999943
230,Welcome,Jaffrabad,1.2000000000000028
231,Jaffrabad,Maujpur,1.1000000000000014
232,Maujpur,Gokulpuri,1.2999999999999972
233,Gokulpuri,Johri Enclave,1.3000000000000043
234,Johri Enclave,Shiv Vihar,0.8999999999999986
235,Noida Sector 51,Noida Sector 50,1.3
236,Noida Sector 50,Noida Sector 76,0.9999999999999998
237,Noida Sector 76,Noida Sector 101,1.1
238,Noida Sector 101,Noida Sector 81,0.8999999999999999
